,k8_GEP1,k8_GEP2,k8_GEP3,k8_GEP4,k8_GEP5,k8_GEP6,k8_GEP7,k8_GEP8,k9_GEP1,k9_GEP2,k9_GEP3,k9_GEP4,k9_GEP5,k9_GEP6,k9_GEP7,k9_GEP8,k9_GEP9,k10_GEP1,k10_GEP2,k10_GEP3,k10_GEP4,k10_GEP5,k10_GEP6,k10_GEP7,k10_GEP8,k10_GEP9,k10_GEP10,k11_GEP1,k11_GEP2,k11_GEP3,k11_GEP4,k11_GEP5,k11_GEP6,k11_GEP7,k11_GEP8,k11_GEP9,k11_GEP10,k11_GEP11,k12_GEP1,k12_GEP2,k12_GEP3,k12_GEP4,k12_GEP5,k12_GEP6,k12_GEP7,k12_GEP8,k12_GEP9,k12_GEP10,k12_GEP11,k12_GEP12
k8_GEP1,1.0,-0.4769963905212997,-0.25947679126797346,-0.2773631841407799,-0.2816256784809161,-0.08231665057433762,-0.16608966347167206,-0.07103522051632877,0.9947470201320943,-0.47398088580596964,-0.2617347442194897,-0.2733148517578723,-0.27919383926079333,-0.13002842823257674,-0.1644342709721776,-0.15349963740042122,-0.10495102696531346,-0.46925207137572744,0.5841806702310521,0.7880477542333846,-0.2651230839883821,-0.26860121265724635,-0.2763658647094798,-0.16396605618162888,-0.12914373081830902,-0.11052631036408318,-0.16356560057766661,-0.4696119178337241,0.5833593608153513,0.7896585113968412,-0.2690715410742002,-0.2544083871345352,-0.27588225458929194,-0.16312215409460862,-0.12872018471261001,-0.18861722016097324,-0.11050774865295956,-0.16313523523521292,-0.4623462190012587,0.5597640547203845,0.7653375144695735,-0.24827816587373408,-0.2451526912868494,-0.07666749618345711,-0.2233153231211506,-0.14846744017476346,-0.1835505244541221,-0.252048766100141,-0.1074770106367173,-0.1914429454750494
k8_GEP2,-0.4769963905212997,1.0,-0.2664791351649132,-0.022047409077241217,-0.09416939656942215,-0.20178394390450968,-0.16796298447202307,-0.14090009368009476,-0.49406311802339914,0.9989426719203651,-0.26323484881848813,-0.020435092314061463,-0.09299218500970592,-0.17622777222487737,-0.16569736412879,-0.10568989799683058,0.04377045133352823,0.9980665895582411,-0.3592868323998122,-0.3623050204378936,-0.2640745344939971,-0.02216410318997768,-0.09364965024100536,-0.16689836715909118,-0.1705902314458819,0.044601048699301565,-0.08900692142900296,0.9980829048317647,-0.3584929068156068,-0.3617755716256004,-0.021348775065237552,-0.2536820804105187,-0.09247873030397405,-0.16632940876259908,-0.1705611261039403,-0.20042293125733968,0.044772912649183934,-0.08914987511079087,0.9973291206046894,-0.3441727845967069,-0.3563443552875216,-0.03418762526356546,-0.12621077196348118,-0.19426184737156715,-0.23781142950740847,-0.1726851959106236,-0.21273947980944785,-0.23833672700640213,0.03968568283349326,-0.07291151847822916
k8_GEP3,-0.25947679126797346,-0.2664791351649132,1.0,-0.06883196122295988,-0.08472254250252542,-0.15113207783419766,0.050543515622098335,-0.11191765570106718,-0.26731094408761147,-0.2655760206312005,0.9998599140121478,-0.06986087418880851,-0.08504613729862229,-0.1355448963061385,0.05053065245347223,-0.07973931847006321,-0.02602135283968754,-0.2657394804376714,-0.2844671776918981,-0.09580776176862546,0.9992001125326193,-0.07206113615853617,-0.08628483756530815,0.04838516374118691,-0.1149798247536413,-0.026349274950865576,-0.05231456736507392,-0.26667444991849776,-0.28499179165112365,-0.09965322596551093,-0.07277290679826251,0.9590833534679641,-0.08924938183722468,0.045783448884540986,-0.11570986994905667,0.7367583861144632,-0.026385531758544613,-0.052037337851433274,-0.273020234465919,-0.27660658341414013,-0.07319441056058758,-0.08138759424790948,-0.07510955938425339,-0.13420586694924388,0.8785106263011578,0.03754236365485346,0.7607578966043409,0.9106512538650334,-0.028848720896423676,-0.04270710024010587
k8_GEP4,-0.2773631841407799,-0.022047409077241217,-0.06883196122295988,1.0,-0.00796105655824311,-0.09319467573207323,-0.03284257694956,-0.06291174932882533,-0.2875862068103543,-0.024169456620970035,-0.06802001452186743,0.9971283351605519,-0.01056856217951583,-0.07816267085766959,-0.034715475509099855,-0.033642003810543275,0.10846916304070874,-0.02717092751334625,-0.23700721905200464,-0.18202871455522288,-0.06969944064389151,0.9952988977734057,-0.014585879106179657,-0.03769215249967306,-0.0672122774903138,0.11203618522480621,-0.015756647472703177,-0.026654263160526305,-0.236520895537853,-0.18199459882763655,0.9953262363426654,-0.06596310570849018,-0.014058458120469556,-0.03757203528162745,-0.06717389555209564,-0.056455878658347565,0.11193027841776834,-0.015863523815286235,-0.0326560180411751,-0.2312354316758714,-0.18701675597708714,0.9935810194949294,-0.032600151166179835,-0.08340141801887237,-0.06403829095124795,-0.04134851151688044,-0.05944369287020574,-0.060264377923270065,0.11087578564125454,-0.004136436479042132
k8_GEP5,-0.2816256784809161,-0.09416939656942215,-0.08472254250252542,-0.00796105655824311,1.0,-0.12259822544718034,-0.054590121974696725,-0.09885951776323822,-0.29293154849632685,-0.09483108511697559,-0.08350558432028962,-0.009728604777876874,0.9987975206556721,-0.1055712735702783,-0.05498301327801265,-0.07271027511018661,0.09322358346578685,-0.09665208401134466,-0.2421463467490871,-0.18994852004481613,-0.08489590048585999,-0.012767058718946376,0.9975275168325015,-0.05702506665762377,-0.09700899357352465,0.09646096990232042,-0.057716720776370425,-0.0965120162042924,-0.2425871888340241,-0.18988092514751803,-0.0131166734876904,-0.08316436009420668,0.9975060568522777,-0.05700728278292276,-0.09704037253115218,-0.06180202000157402,0.09619426628468272,-0.05773593002806797,-0.08694920371444682,-0.23229270171073477,-0.19107784241934112,-0.005728893583315006,0.9913210501751553,-0.10549724513416212,-0.07248800314314807,-0.05599503993234072,-0.06988430999557946,-0.08011397959543444,0.10640775910928156,-0.04821464000852269
k8_GEP6,-0.08231665057433762,-0.20178394390450968,-0.15113207783419766,-0.09319467573207323,-0.12259822544718034,1.0,-0.09397560213308462,0.212287981408381,-0.04951427410002141,-0.20296222942775957,-0.15200890582345827,-0.09421338684281014,-0.1236975696328097,0.9982751373012233,-0.095596656706163,0.22579655092539636,-0.06242807948277782,-0.20307303215526862,0.2482879142545741,-0.22238559685719164,-0.14492365679168362,-0.0908080925946395,-0.12094667951541874,-0.09026101445891933,0.9763272288351078,-0.06069365258648146,0.17616169724310551,-0.20237779367176914,0.24900192241329053,-0.2214167920572103,-0.09063844401447217,-0.13891767811452763,-0.12059963940586155,-0.08978214288014436,0.9763081036257988,-0.09939228412004633,-0.06061004051522838,0.17507682873458671,-0.20390532787460983,0.1774752345289975,-0.2366674403368607,-0.09254602347490623,-0.12016444291662201,0.9829544885635841,-0.13341483336529072,-0.08881358927846913,-0.1002344676194915,-0.13083435984616992,-0.05912973654529606,0.19184579749194308
k8_GEP7,-0.16608966347167206,-0.16796298447202307,0.050543515622098335,-0.03284257694956,-0.054590121974696725,-0.09397560213308462,1.0,-0.0825855562984275,-0.1724054803594554,-0.16731084991115694,0.051581110785729335,-0.033238913728335685,-0.05449025833905413,-0.0825691214705026,0.9990154994852731,-0.06578097375800351,0.03575611999680279,-0.1689125999295441,-0.18136778354993838,-0.06931278316746323,0.050219548423775365,-0.03635990451554175,-0.05662665573572224,0.9979940332585566,-0.070554866866806,0.03626959503246385,-0.04940698744027742,-0.1683892844613475,-0.1811428557030889,-0.07000414169905407,-0.036063584062585884,0.0501280959148453,-0.05667813664585044,0.9979692192022473,-0.07054111712868034,0.022041363613880757,0.0362813408374346,-0.049503601197906595,-0.17360283921400585,-0.17978876459772766,-0.06252955216579584,-0.042695053308546185,-0.05739520901143433,-0.08383601652912435,0.05823567689006982,0.996758841941721,0.019479195421110533,0.05151808829503664,0.03396711350330826,-0.04128499807365685
k8_GEP8,-0.07103522051632877,-0.14090009368009476,-0.11191765570106718,-0.06291174932882533,-0.09885951776323822,0.212287981408381,-0.0825855562984275,1.0,0.010825264728482012,-0.14345027975687094,-0.11718502377531982,-0.06786935960815516,-0.10133939507603167,0.19500187068978517,-0.08687276297593186,0.971808201309995,-0.02303112565789386,-0.1461913864366247,0.3965145446209465,-0.2736446709618452,-0.10666986530320503,-0.06640307620960961,-0.09922029600649537,-0.0792291058231614,0.12128669404435748,-0.018475810207991133,0.900371967548498,-0.1457434160376304,0.39709619135297,-0.27322928955872755,-0.06595152089852019,-0.09776648899948043,-0.09884862284456084,-0.07897140630055924,0.12138279091672079,-0.08351960477731539,-0.018559579138120542,0.9005470802455211,-0.15224489902711405,0.4945297204467524,-0.24917524744081693,-0.07523136215782626,-0.09332139629016935,0.10670481952795656,-0.10249730645411514,-0.08603549967941326,-0.0891500463395182,-0.09124592055209604,-0.02277498154765328,0.8547892842285575
k9_GEP1,0.9947470201320943,-0.49406311802339914,-0.26731094408761147,-0.2875862068103543,-0.29293154849632685,-0.04951427410002141,-0.1724054803594554,0.010825264728482012,1.0,-0.49022885037532454,-0.2696821905096442,-0.2821459782035534,-0.2895056642286371,-0.09845376547374611,-0.17007660874681899,-0.08494687804530528,-0.1322609374923676,-0.48562664511366005,0.6480928153348359,0.7441000546365589,-0.2710043044029839,-0.2766709647817213,-0.2858099268173507,-0.16793424382207406,-0.11104575513104012,-0.13699043444443357,-0.11128953449526777,-0.4859513316146035,0.6473515302082853,0.7457603448359672,-0.27709962034641794,-0.25977994817353,-0.2853112684972377,-0.16706850284848251,-0.11064784915211588,-0.19233875569060696,-0.13697570794269542,-0.11083074924298195,-0.479465955338018,0.6308724338138639,0.725120399395762,-0.25756469264531384,-0.2541450823987119,-0.05927294906308137,-0.23006117420660338,-0.15341800768511807,-0.18777058439911434,-0.25726258206286134,-0.13444180771670325,-0.14686606114464876
k9_GEP2,-0.47398088580596964,0.9989426719203651,-0.2655760206312005,-0.024169456620970035,-0.09483108511697559,-0.20296222942775957,-0.16731084991115694,-0.14345027975687094,-0.49022885037532454,1.0,-0.2616462135016117,-0.01911378186252017,-0.09141579928716337,-0.17769712432606374,-0.16304151291138205,-0.10750711679105168,-0.0015912801303524622,0.9998484158315499,-0.35860126743997556,-0.3576085620330155,-0.2622760409024908,-0.01992743566703705,-0.09113181995442625,-0.1636586743123274,-0.17166515270560387,-0.0007437403527537922,-0.09028786636566384,0.9998534117916316,-0.35781147090830134,-0.3570904402647159,-0.019123821391805053,-0.2518918867504665,-0.08996463374022952,-0.16309433920875774,-0.17163711660903586,-0.19929198646304502,-0.0005768709393903259,-0.0904332470799341,0.9993501756646582,-0.34365255142294393,-0.35207000429768953,-0.03167829953361292,-0.12323822304963448,-0.19504456416150354,-0.23587503837098145,-0.16931769667024102,-0.21146375931801764,-0.23685576750449597,-0.005593178568794663,-0.07417659783953456
k9_GEP3,-0.2617347442194897,-0.26323484881848813,0.9998599140121478,-0.06802001452186743,-0.08350558432028962,-0.15200890582345827,0.051581110785729335,-0.11718502377531982,-0.2696821905096442,-0.2616462135016117,1.0,-0.06788754618150974,-0.08308899707581004,-0.13630156795551937,0.05226347538481395,-0.08439644985904633,-0.040277578430367424,-0.2615804855456717,-0.2866652599079222,-0.09740936903163969,0.9994629792809147,-0.06977765380520543,-0.08401951819573057,0.0503440713275993,-0.11569674843178775,-0.04055747545119577,-0.05680095493192277,-0.2625197967137009,-0.2872004965751794,-0.10124534586671931,-0.07049487321450208,0.9592042949362396,-0.08698559601266892,0.047742993941296226,-0.11642660668402721,0.7372276290798954,-0.04058954133210652,-0.05652409182288934,-0.26871204166203494,-0.27949684319412565,-0.07543903160369375,-0.07894523605484764,-0.07287379050823525,-0.13472615155262943,0.8787359110194208,0.039634953703495526,0.7612836993552037,0.9108764400304797,-0.04295137256145729,-0.04671353074429003
k9_GEP4,-0.2733148517578723,-0.020435092314061463,-0.06986087418880851,0.9971283351605519,-0.009728604777876874,-0.09421338684281014,-0.033238913728335685,-0.06786935960815516,-0.2821459782035534,-0.01911378186252017,-0.06788754618150974,1.0,-0.008632229176045135,-0.0796518511309828,-0.031766714962823184,-0.037738872513232255,0.03387374922441275,-0.020943784064268715,-0.23412196713299283,-0.17728889014612145,-0.06909906396192818,0.9997380254650875,-0.011066828012244886,-0.0336792787217503,-0.06870380363309535,0.037548818409614576,-0.019604740163163673,-0.020445921540822174,-0.2336539818842713,-0.17724717716416402,0.9997443634564972,-0.06547146791227489,-0.01054197848645841,-0.033557137574052445,-0.06866498620611138,-0.05582456540536009,0.037450987965870014,-0.019710354143324105,-0.025972552430690087,-0.22899221198315906,-0.1835089638058595,0.9985413927041652,-0.028498846997642657,-0.08420298317065421,-0.0628881090444006,-0.03702114071133768,-0.05852512470566196,-0.06045161677237612,0.03659641384111819,-0.007824340709661676
k9_GEP5,-0.27919383926079333,-0.09299218500970592,-0.08504613729862229,-0.01056856217951583,0.9987975206556721,-0.1236975696328097,-0.05449025833905413,-0.10133939507603167,-0.2895056642286371,-0.09141579928716337,-0.08308899707581004,-0.008632229176045135,1.0,-0.10696228553090718,-0.05272782666935581,-0.0747524509722384,0.04477391475606532,-0.09247817868131801,-0.24052446372148706,-0.18667286123898372,-0.08420122527761131,-0.010672729871731925,0.9997512769754914,-0.054101929101273774,-0.0983448788136273,0.04805678078100937,-0.05958260759424952,-0.09234973800773655,-0.24097088264725613,-0.1866090195735938,-0.011033043450134613,-0.08248792052206015,0.9997281207999054,-0.05408455058794476,-0.09837718763372053,-0.06133354623917213,0.0477916368200202,-0.05960242079998201,-0.08252414804788218,-0.2308273028645259,-0.18827492417842745,-0.003376683540968605,0.9939532150294855,-0.10651622181426901,-0.07147772734234442,-0.05294495851392626,-0.06927068556209787,-0.07990039983218432,0.05807639362223893,-0.05014869502926638
k9_GEP6,-0.13002842823257674,-0.17622777222487737,-0.1355448963061385,-0.07816267085766959,-0.1055712735702783,0.9982751373012233,-0.0825691214705026,0.19500187068978517,-0.09845376547374611,-0.17769712432606374,-0.13630156795551937,-0.0796518511309828,-0.10696228553090718,1.0,-0.08442214603998086,0.21076878910045993,-0.052276738399348134,-0.17807957451186918,0.2098622738133323,-0.2538408713494631,-0.12938763044599863,-0.07665794510061584,-0.10451995681291522,-0.07940872679238088,0.9805300552915006,-0.05033689340428038,0.16233666053266405,-0.17737244165552749,0.2106359271315966,-0.25300061860754064,-0.07646530804117757,-0.12367151996117447,-0.10419432726911823,-0.07898253036212051,0.9804825045555412,-0.08926089854884477,-0.05026364652751901,0.16122479912338736,-0.17937596177792328,0.1405280294552719,-0.26680083378445574,-0.0795613070596139,-0.10574033193460079,0.9835393624414097,-0.11952161072532738,-0.07894498154889219,-0.09042944484942775,-0.11649250220963425,-0.04900354013137086,0.1784483282195675
k9_GEP7,-0.1644342709721776,-0.16569736412879,0.05053065245347223,-0.034715475509099855,-0.05498301327801265,-0.095596656706163,0.9990154994852731,-0.08687276297593186,-0.17007660874681899,-0.16304151291138205,0.05226347538481395,-0.031766714962823184,-0.05272782666935581,-0.08442214603998086,1.0,-0.06952067086287052,-0.007437969550643087,-0.1639619422910091,-0.1798500397560207,-0.06778199285526798,0.05122198370076855,-0.03396619129221238,-0.05393629069455182,0.9996317398117847,-0.07260069350455266,-0.006846120024933116,-0.05313772419888149,-0.16345241554978424,-0.17963951221000277,-0.06846540038559414,-0.033684194872465385,0.051011982230495974,-0.05399113956279122,0.999606109579299,-0.07258684781280003,0.022971905181786056,-0.006828720570357721,-0.05323328070441682,-0.16834402450475672,-0.17886292793089714,-0.06193636817318688,-0.039946804594558405,-0.05438005809110227,-0.08536827647923435,0.05942733791028002,0.9986297230478663,0.020605003638469562,0.05210645092176155,-0.008987872831890918,-0.044767058288156684
k9_GEP8,-0.15349963740042122,-0.10568989799683058,-0.07973931847006321,-0.033642003810543275,-0.07271027511018661,0.22579655092539636,-0.06578097375800351,0.971808201309995,-0.08494687804530528,-0.10750711679105168,-0.08439644985904633,-0.037738872513232255,-0.0747524509722384,0.21076878910045993,-0.06952067086287052,1.0,-0.027665826266087924,-0.10918812038338516,0.222126611100474,-0.2427715492769338,-0.07810407637433608,-0.03691311145636912,-0.07329716875397776,-0.06484571954589474,0.16914176649871654,-0.024807612785515607,0.9735829788584511,-0.10870520508656718,0.22263055746251406,-0.24259181028052942,-0.036486293334251,-0.07054848098640054,-0.07298893763475466,-0.06468684125517431,0.16931078968839045,-0.06535472935402191,-0.02489292589775858,0.9735896897175841,-0.11434433663030188,0.3135904130681223,-0.22372742585197636,-0.044994529046040885,-0.06825465585465282,0.15053284545906365,-0.07459590238356009,-0.07094553225047856,-0.07024409337067229,-0.06458302015389447,-0.028568469177052896,0.9504367358753848
k9_GEP9,-0.10495102696531346,0.04377045133352823,-0.02602135283968754,0.10846916304070874,0.09322358346578685,-0.06242807948277782,0.03575611999680279,-0.02303112565789386,-0.1322609374923676,-0.0015912801303524622,-0.040277578430367424,0.03387374922441275,0.04477391475606532,-0.052276738399348134,-0.007437969550643087,-0.027665826266087924,1.0,-0.017267586188240345,-0.10451984859200339,-0.09614369018190626,-0.046519383046610185,0.0131435469918825,0.02362599358088484,-0.02151978764200173,-0.0502711532632495,0.9993895599430117,-0.025309182803430735,-0.01701020088698739,-0.10439887965269341,-0.09602621404514546,0.013379843030511046,-0.04505565385337928,0.023778043846332475,-0.021444792409725813,-0.05023793177005556,-0.034551892450094074,0.9993851645064994,-0.0252848794979152,-0.02166844378657364,-0.10135937874997256,-0.08822451622871104,0.008135238962552572,0.011993400911188036,-0.05848994824280609,-0.04716125875872638,-0.023949207737129254,-0.03889235134984729,-0.035181312354961136,0.9984213886767422,-0.020373071393975605
k10_GEP1,-0.46925207137572744,0.9980665895582411,-0.2657394804376714,-0.02717092751334625,-0.09665208401134466,-0.20307303215526862,-0.1689125999295441,-0.1461913864366247,-0.48562664511366005,0.9998484158315499,-0.2615804855456717,-0.020943784064268715,-0.09247817868131801,-0.17807957451186918,-0.1639619422910091,-0.10918812038338516,-0.017267586188240345,1.0,-0.3595331406206143,-0.3506384557981599,-0.26226657123751623,-0.021439222301456045,-0.0918770490819803,-0.16445812756388517,-0.17102506390583463,-0.01656121946848815,-0.09074142225671238,0.999998721023978,-0.35875271997588676,-0.35011979842202157,-0.020641168997390387,-0.2518851740676012,-0.09071200128939498,-0.1638938216158444,-0.1709936680859307,-0.19932437639757863,-0.01639501786181671,-0.09088916986791469,0.9996328920327661,-0.34494898752183323,-0.3455844405222248,-0.03298423884848984,-0.12362633023883518,-0.19414166629829552,-0.23568875981453477,-0.16998046521865204,-0.21142297522599557,-0.23689076121406236,-0.021384719843051105,-0.07425565677496215
k10_GEP2,0.5841806702310521,-0.3592868323998122,-0.2844671776918981,-0.23700721905200464,-0.2421463467490871,0.2482879142545741,-0.18136778354993838,0.3965145446209465,0.6480928153348359,-0.35860126743997556,-0.2866652599079222,-0.23412196713299283,-0.24052446372148706,0.2098622738133323,-0.1798500397560207,0.222126611100474,-0.10451984859200339,-0.3595331406206143,1.0,-0.02095051782909612,-0.2645261100809305,-0.2259297592309512,-0.23366659249130975,-0.16205689554786432,0.05942074786630302,-0.09721621067833097,0.04140333798029409,-0.35955309512933004,0.9998354722023536,-0.018486214360858618,-0.22605783811990268,-0.2562443566600075,-0.23312257265006775,-0.16116625438413953,0.05951775181837715,-0.1709509987121904,-0.09708448630876577,0.04175933937784838,-0.3562373809233329,0.98481375163486,-0.031063179581813198,-0.21562168318468874,-0.2133765350075615,0.11121782376912001,-0.24563384149833095,-0.15226959729907266,-0.16797473499531954,-0.24005807059726497,-0.0938677175640331,-0.018136232197969605
k10_GEP3,0.7880477542333846,-0.3623050204378936,-0.09580776176862546,-0.18202871455522288,-0.18994852004481613,-0.22238559685719164,-0.06931278316746323,-0.2736446709618452,0.7441000546365589,-0.3576085620330155,-0.09740936903163969,-0.17728889014612145,-0.18667286123898372,-0.2538408713494631,-0.06778199285526798,-0.2427715492769338,-0.09614369018190626,-0.3506384557981599,-0.02095051782909612,1.0,-0.11916331941403394,-0.17729465791137955,-0.18771272562381633,-0.08094800832403763,-0.13552810570178536,-0.10924149987887066,-0.11665168025460926,-0.35099143761545215,-0.021663844227614557,0.9998911027247419,-0.17770389930156974,-0.11096580820602057,-0.1875456582619481,-0.080607182142799,-0.1351016321034177,-0.10126861277457323,-0.10936280520057114,-0.11642349283542462,-0.34636685985474913,-0.026328897746158434,0.987982436334645,-0.1626301017201226,-0.16300415549016564,-0.11568308054352812,-0.0822663321492787,-0.07164723303553745,-0.098376514786563,-0.12309526100925955,-0.1096656910899766,-0.11289072107011798
k10_GEP4,-0.2651230839883821,-0.2640745344939971,0.9992001125326193,-0.06969944064389151,-0.08489590048585999,-0.14492365679168362,0.050219548423775365,-0.10666986530320503,-0.2710043044029839,-0.2622760409024908,0.9994629792809147,-0.06909906396192818,-0.08420122527761131,-0.12938763044599863,0.05122198370076855,-0.07810407637433608,-0.046519383046610185,-0.26226657123751623,-0.2645261100809305,-0.11916331941403394,1.0,-0.07065000585728744,-0.08481544010766623,0.05012363982304637,-0.11471944022514892,-0.0463398111587114,-0.05714946199666571,-0.2632076776436514,-0.26507238465581834,-0.12293598477417875,-0.07137103106203141,0.9594258047346955,-0.08778758969367391,0.047527019570806836,-0.11545598505081878,0.7388514425478393,-0.04636126373586518,-0.05686294797279731,-0.26930229300190667,-0.2580511706386568,-0.0979990242569141,-0.07969833426302429,-0.07359085897487058,-0.13270966646758395,0.8783876139049779,0.03960260678677616,0.7631132852231776,0.9117410311219075,-0.048535164680835886,-0.04806872613396036
k10_GEP5,-0.26860121265724635,-0.02216410318997768,-0.07206113615853617,0.9952988977734057,-0.012767058718946376,-0.0908080925946395,-0.03635990451554175,-0.06640307620960961,-0.2766709647817213,-0.01992743566703705,-0.06977765380520543,0.9997380254650875,-0.010672729871731925,-0.07665794510061584,-0.03396619129221238,-0.03691311145636912,0.0131435469918825,-0.021439222301456045,-0.2259297592309512,-0.17729465791137955,-0.07065000585728744,1.0,-0.012615351855787531,-0.03541924783928223,-0.06686831922318394,0.016852806156779417,-0.020012761537956655,-0.020947401310934585,-0.22547809917864228,-0.17722129686826846,0.9999971187948414,-0.06710404307671955,-0.012089470044676991,-0.03529016257146452,-0.06682684367607786,-0.05646019860915931,0.016763288381251042,-0.020113465392748803,-0.02627561450963855,-0.22141742793091906,-0.18436432783191248,0.9991142655496701,-0.0298566308524484,-0.08169450599210747,-0.06422148575186917,-0.038516774704096216,-0.058991260700572215,-0.06209510851535413,0.01606220116236811,-0.008287548897269657
k10_GEP6,-0.2763658647094798,-0.09364965024100536,-0.08628483756530815,-0.014585879106179657,0.9975275168325015,-0.12094667951541874,-0.05662665573572224,-0.09922029600649537,-0.2858099268173507,-0.09113181995442625,-0.08401951819573057,-0.011066828012244886,0.9997512769754914,-0.10451995681291522,-0.05393629069455182,-0.07329716875397776,0.02362599358088484,-0.0918770490819803,-0.23366659249130975,-0.18771272562381633,-0.08481544010766623,-0.012615351855787531,1.0,-0.054871703823440504,-0.09699978647876989,0.0269217640174085,-0.0593416173757009,-0.09175385893402965,-0.2341207167184453,-0.18763119898310615,-0.01297963200342523,-0.08316429410029982,0.999974100313067,-0.05485052524112028,-0.09703240554143366,-0.06144337888944801,0.026661500315454657,-0.0593608376384942,-0.08179475034842205,-0.22427712377067552,-0.18973297265691755,-0.005159689078059234,0.9946222290527215,-0.10470691688242283,-0.07208229171925264,-0.05359803023263309,-0.06931258200243579,-0.0805567272543949,0.036987421897756736,-0.05014521737094101
k10_GEP7,-0.16396605618162888,-0.16689836715909118,0.04838516374118691,-0.03769215249967306,-0.05702506665762377,-0.09026101445891933,0.9979940332585566,-0.0792291058231614,-0.16793424382207406,-0.1636586743123274,0.0503440713275993,-0.0336792787217503,-0.054101929101273774,-0.07940872679238088,0.9996317398117847,-0.06484571954589474,-0.02151978764200173,-0.16445812756388517,-0.16205689554786432,-0.08094800832403763,0.05012363982304637,-0.03541924783928223,-0.054871703823440504,1.0,-0.07182602663793088,-0.020632652059401062,-0.05316496710415312,-0.1639518392946509,-0.16185805907000295,-0.08157794187793024,-0.035142364066334184,0.04974166435535287,-0.054927550232780065,0.9999820557585973,-0.07181460385794101,0.023064593274630035,-0.020604879230511297,-0.05325352449326413,-0.16869532890567165,-0.1616749621530221,-0.07587246345933353,-0.04120385512504329,-0.05511328695543295,-0.08365296446103047,0.05799283004156385,0.9992171553053875,0.020843456010139122,0.05127999152180211,-0.02259886017019531,-0.045511299397557554
